Rank,Name,Country,Inns,Not out,BattingAverage,run_against,total_out,others_avg,Norm_avg,ROO Score
1,Jacques Kallis,South Africa,278,39,55.25,128388,3745,34.28,20.97,5011.23
2,Sachin Tendulkar,India,329,33,53.78,164278,4330,37.94,15.84,4688.79
3,Joe Root,England,278,23,50.87,118277,3599,32.86,18.01,4591.57
4,Donald Bradman,Australia,80,10,99.94,41300,1195,34.56,65.38,4576.55
5,Brian Lara,West Indies,230,6,53.17,95465,2900,32.92,20.25,4536.23
6,Kumar Sangakkara,Sri Lanka,233,17,57.4,120067,3213,37.37,20.03,4326.67
7,Steven Smith,Australia,204,25,55.86,88866,2711,32.78,23.08,4131.36
8,Ricky Ponting,Australia,287,29,51.85,141848,3872,36.63,15.22,3925.65
9,Rahul Dravid,India,284,32,52.63,138862,3656,37.98,14.65,3691.31
10,Shivnarine Chanderpaul,West Indies,280,49,51.37,136573,3833,35.63,15.74,3635.75
11,Allan Border,Australia,265,44,50.56,119008,3466,34.34,16.22,3585.54
12,Kane Williamson,New Zealand,186,17,54.88,84145,2425,34.70,20.18,3410.59
13,Steve Waugh,Australia,260,46,51.06,133845,3792,35.30,15.76,3373.35
14,Javed Miandad,Pakistan,189,21,52.57,85097,2594,32.81,19.76,3320.47
15,Sunil Gavaskar,India,214,16,51.12,92444,2654,34.83,16.29,3225.03
16,Viv Richards,West Indies,182,12,50.23,85929,2748,31.27,18.96,3223.26
17,Younis Khan,Pakistan,213,19,52.05,99159,2714,36.54,15.51,3009.69
18,Mahela Jayawardene,Sri Lanka,252,15,49.84,130671,3506,37.27,12.57,2978.93
19,Garry Sobers,West Indies,160,21,57.78,77493,2131,36.36,21.42,2976.74
20,Virat Kohli,India,210,13,46.85,90630,2833,31.99,14.86,2927.26
21,Wally Hammond,England,140,16,58.45,65481,1874,34.94,23.51,2915.01
22,Leonard Hutton,England,138,15,56.67,60319,1792,33.66,23.01,2830.21
23,Ken Barrington,England,131,15,58.67,63596,1841,34.54,24.13,2798.58
24,Alastair Cook,England,291,16,45.35,130244,3656,35.62,9.73,2674.45
25,Greg Chappell,Australia,151,19,53.86,68352,2030,33.67,20.19,2664.96
26,Ab De Villiers,South Africa,191,18,50.66,99451,2787,35.68,14.98,2590.87
27,Hashim Amla,South Africa,215,16,46.64,95048,2819,33.72,12.92,2571.69
28,Inzamam Ul Haq,Pakistan,198,22,50.16,102391,2854,35.88,14.28,2513.93
29,Geoff Boycott,England,193,23,47.72,79094,2392,33.07,14.65,2491.17
