"Name","Country","code","link","run_against","total_out","others_avg","BattingAverage","Inns","Not_out"
"varun aaron","india",360911,"https://stats.espncricinfo.com/ci/engine/player/360911.html?class=1;template=results;type=allround;view=match",9214,280,32.90714286,3.88,14,5
"abdul kardar","india",41030,"https://stats.espncricinfo.com/ci/engine/player/41030.html?class=1;template=results;type=allround;view=match",18326,616,29.75,16,5,0
"syed abid ali","india",26169,"https://stats.espncricinfo.com/ci/engine/player/26169.html?class=1;template=results;type=allround;view=match",25548,764,33.43979058,20.36,53,3
"hemu adhikari","india",26179,"https://stats.espncricinfo.com/ci/engine/player/26179.html?class=1;template=results;type=allround;view=match",18067,502,35.99003984,31.14,36,8
"ajit agarkar","india",26184,"https://stats.espncricinfo.com/ci/engine/player/26184.html?class=1;template=results;type=allround;view=match",25913,676,38.33284024,16.79,39,5
"mayank agarawal","india",398438,"https://stats.espncricinfo.com/ci/engine/player/398438.html?class=1;template=results;type=allround;view=match",16219,551,29.43557169,41.33,36,0
"akash deep","india",1176959,"https://stats.espncricinfo.com/ci/engine/player/1176959.html?class=1;template=results;type=allround;view=match",7370,261,28.23754789,8.3,10,0
"lala amarnath","india",26223,"https://stats.espncricinfo.com/ci/engine/player/26223.html?class=1;template=results;type=allround;view=match",19307,565,34.17168142,24.38,40,4
"mohinder amarnath","india",26225,"https://stats.espncricinfo.com/ci/engine/player/26225.html?class=1;template=results;type=allround;view=match",53964,1465,36.83549488,42.5,113,10
"surinder amarnath","india",26226,"https://stats.espncricinfo.com/ci/engine/player/26226.html?class=1;template=results;type=allround;view=match",10074,292,34.5,30.55,18,0
"amar singh","india",26228,"https://stats.espncricinfo.com/ci/engine/player/26228.html?class=1;template=results;type=allround;view=match",7253,248,29.24596774,22.46,14,1
"amir elahi","india",38997,"https://stats.espncricinfo.com/ci/engine/player/38997.html?class=1;template=results;type=allround;view=match",5120,196,26.12244898,8.5,2,0
"pravin amre","india",26238,"https://stats.espncricinfo.com/ci/engine/player/26238.html?class=1;template=results;type=allround;view=match",10078,302,33.37086093,42.5,13,3
"salil ankola","india",26257,"https://stats.espncricinfo.com/ci/engine/player/26257.html?class=1;template=results;type=allround;view=match",3320,102,32.54901961,6,1,0
"arvind apte","india",26268,"https://stats.espncricinfo.com/ci/engine/player/26268.html?class=1;template=results;type=allround;view=match",2917,98,29.76530612,7.5,2,0
"madhav apte","india",26269,"https://stats.espncricinfo.com/ci/engine/player/26269.html?class=1;template=results;type=allround;view=match",7667,224,34.22767857,49.27,13,2
"arshad ayub","india",26290,"https://stats.espncricinfo.com/ci/engine/player/26290.html?class=1;template=results;type=allround;view=match",11842,379,31.24538259,17.13,19,4
"bharat arun","india",26293,"https://stats.espncricinfo.com/ci/engine/player/26293.html?class=1;template=results;type=allround;view=match",3855,114,33.81578947,4,2,1
"arun lal","india",26295,"https://stats.espncricinfo.com/ci/engine/player/26295.html?class=1;template=results;type=allround;view=match",13609,429,31.72261072,26.03,29,1
"ravichandran ashwin","india",26421,"https://stats.espncricinfo.com/ci/engine/player/26421.html?class=1;template=results;type=allround;view=match",86191,2570,33.53735409,25.75,151,15
"kirti azad","india",26325,"https://stats.espncricinfo.com/ci/engine/player/26325.html?class=1;template=results;type=allround;view=match",7106,241,29.48547718,11.25,12,0
"mohammad azharuddin","india",26329,"https://stats.espncricinfo.com/ci/engine/player/26329.html?class=1;template=results;type=allround;view=match",76020,2116,35.92627599,45.03,147,9
"hemang badani","india",26802,"https://stats.espncricinfo.com/ci/engine/player/26802.html?class=1;template=results;type=allround;view=match",5171,166,31.15060241,15.66,7,1
"s badrinath","india",26806,"https://stats.espncricinfo.com/ci/engine/player/26806.html?class=1;template=results;type=allround;view=match",4153,118,35.19491525,21,3,0
"sairaj bahutule","india",26815,"https://stats.espncricinfo.com/ci/engine/player/26815.html?class=1;template=results;type=allround;view=match",4341,125,34.728,13,4,1
"abbas ali baig","india",26817,"https://stats.espncricinfo.com/ci/engine/player/26817.html?class=1;template=results;type=allround;view=match",9229,293,31.49829352,23.77,18,0
"lakshmipathy balaji","india",26829,"https://stats.espncricinfo.com/ci/engine/player/26829.html?class=1;template=results;type=allround;view=match",10821,264,40.98863636,5.66,9,0
"mantu banerjee","india",26849,"https://stats.espncricinfo.com/ci/engine/player/26849.html?class=1;template=results;type=allround;view=match",3463,103,33.62135922,0,1,0
"shute banerjee","india",26851,"https://stats.espncricinfo.com/ci/engine/player/26851.html?class=1;template=results;type=allround;view=match",3209,106,30.27358491,6.5,2,0
"subroto banerjee","india",26853,"https://stats.espncricinfo.com/ci/engine/player/26853.html?class=1;template=results;type=allround;view=match",3133,97,32.29896907,3,1,0
"sanjay bangar","india",27225,"https://stats.espncricinfo.com/ci/engine/player/27225.html?class=1;template=results;type=allround;view=match",11224,326,34.42944785,29.37,18,2
"baqa jilani","india",26860,"https://stats.espncricinfo.com/ci/engine/player/26860.html?class=1;template=results;type=allround;view=match",3221,103,31.27184466,16,2,1
"bishan bedi","india",26875,"https://stats.espncricinfo.com/ci/engine/player/26875.html?class=1;template=results;type=allround;view=match",56585,1704,33.20715962,8.98,101,28
"prakash bhandari","india",26897,"https://stats.espncricinfo.com/ci/engine/player/26897.html?class=1;template=results;type=allround;view=match",4340,147,29.52380952,19.25,4,0
"srikar bharat","india",529436,"https://stats.espncricinfo.com/ci/engine/player/529436.html?class=1;template=results;type=allround;view=match",7866,252,31.21428571,20.09,12,1
"raghuram bhat","india",26928,"https://stats.espncricinfo.com/ci/engine/player/26928.html?class=1;template=results;type=allround;view=match",3505,125,28.04,3,3,1
"roger binny","india",26948,"https://stats.espncricinfo.com/ci/engine/player/26948.html?class=1;template=results;type=allround;view=match",20970,671,31.25186289,23.05,41,5
"stuart binny","india",27223,"https://stats.espncricinfo.com/ci/engine/player/27223.html?class=1;template=results;type=allround;view=match",6416,203,31.60591133,21.55,10,1
"chandu borde","india",26962,"https://stats.espncricinfo.com/ci/engine/player/26962.html?class=1;template=results;type=allround;view=match",44952,1298,34.63174114,35.59,97,11
"jasprit bumrah","india",625383,"https://stats.espncricinfo.com/ci/engine/player/625383.html?class=1;template=results;type=allround;view=match",35649,1206,29.55970149,7.06,69,22
"bhagwath chandrasekhar","india",27591,"https://stats.espncricinfo.com/ci/engine/player/27591.html?class=1;template=results;type=allround;view=match",50682,1465,34.59522184,4.07,80,39
"chetan chauhan","india",27619,"https://stats.espncricinfo.com/ci/engine/player/27619.html?class=1;template=results;type=allround;view=match",32424,928,34.93965517,31.57,68,2
"rajesh chauhan","india",27622,"https://stats.espncricinfo.com/ci/engine/player/27622.html?class=1;template=results;type=allround;view=match",19212,497,38.65593561,7,17,3
"piyush chawla","india",32966,"https://stats.espncricinfo.com/ci/engine/player/32966.html?class=1;template=results;type=allround;view=match",4601,149,30.87919463,2,3,0
"aakash chopra","india",27639,"https://stats.espncricinfo.com/ci/engine/player/27639.html?class=1;template=results;type=allround;view=match",12974,301,43.10299003,23,19,0
"nikhil chopra","india",27641,"https://stats.espncricinfo.com/ci/engine/player/27641.html?class=1;template=results;type=allround;view=match",3023,100,30.23,3.5,2,0
"nirode chowdhury","india",27659,"https://stats.espncricinfo.com/ci/engine/player/27659.html?class=1;template=results;type=allround;view=match",3935,119,33.06722689,3,2,1
"sorabji colah","india",27665,"https://stats.espncricinfo.com/ci/engine/player/27665.html?class=1;template=results;type=allround;view=match",3729,129,28.90697674,17.25,4,0
"nari contractor","india",27667,"https://stats.espncricinfo.com/ci/engine/player/27667.html?class=1;template=results;type=allround;view=match",25038,719,34.82336579,31.58,52,1
"vijay dahiya","india",27978,"https://stats.espncricinfo.com/ci/engine/player/27978.html?class=1;template=results;type=allround;view=match",4792,120,39.93333333,0,1,1
"bal dani","india",27988,"https://stats.espncricinfo.com/ci/engine/player/27988.html?class=1;template=results;type=allround;view=match",3049,101,30.18811881,0,0,0
"shiv sunder das","india",28010,"https://stats.espncricinfo.com/ci/engine/player/28010.html?class=1;template=results;type=allround;view=match",21028,567,37.08641975,34.89,40,2
"deep dasgupta","india",28146,"https://stats.espncricinfo.com/ci/engine/player/28146.html?class=1;template=results;type=allround;view=match",8870,255,34.78431373,28.66,13,1
"ramakant desai","india",28045,"https://stats.espncricinfo.com/ci/engine/player/28045.html?class=1;template=results;type=allround;view=match",24367,706,34.51416431,13.48,44,13
"shikhar dhawan","india",28235,"https://stats.espncricinfo.com/ci/engine/player/28235.html?class=1;template=results;type=allround;view=match",28876,848,34.05188679,40.61,58,1
"ms dhoni","india",28081,"https://stats.espncricinfo.com/ci/engine/player/28081.html?class=1;template=results;type=allround;view=match",86190,2214,38.9295393,38.09,144,16
"sameer dighe","india",28090,"https://stats.espncricinfo.com/ci/engine/player/28090.html?class=1;template=results;type=allround;view=match",7195,225,31.97777778,15.66,10,1
"dilawar hussain","india",28092,"https://stats.espncricinfo.com/ci/engine/player/28092.html?class=1;template=results;type=allround;view=match",4624,157,29.4522293,42.33,6,0
"ramesh divecha","india",28095,"https://stats.espncricinfo.com/ci/engine/player/28095.html?class=1;template=results;type=allround;view=match",5061,168,30.125,12,5,0
"dilip doshi","india",28107,"https://stats.espncricinfo.com/ci/engine/player/28107.html?class=1;template=results;type=allround;view=match",27879,789,35.33460076,4.6,38,10
"rahul dravid","india",28114,"https://stats.espncricinfo.com/ci/engine/player/28114.html?class=1;template=results;type=allround;view=match",138862,3656,37.98194748,52.63,284,32
"salim durani","india",28118,"https://stats.espncricinfo.com/ci/engine/player/28118.html?class=1;template=results;type=allround;view=match",25602,718,35.65738162,25.04,50,2
"farokh engineer","india",28624,"https://stats.espncricinfo.com/ci/engine/player/28624.html?class=1;template=results;type=allround;view=match",39068,1206,32.3946932,31.08,87,3
"chandrasekhar gadkari","india",28751,"https://stats.espncricinfo.com/ci/engine/player/28751.html?class=1;template=results;type=allround;view=match",7225,214,33.76168224,21.5,10,4
"aunshuman gaekwad","india",28754,"https://stats.espncricinfo.com/ci/engine/player/28754.html?class=1;template=results;type=allround;view=match",31743,903,35.15282392,30.07,70,4
"datta gaekwad","india",28755,"https://stats.espncricinfo.com/ci/engine/player/28755.html?class=1;template=results;type=allround;view=match",10828,305,35.50163934,18.42,20,1
"hiralal gaekwad","india",28756,"https://stats.espncricinfo.com/ci/engine/player/28756.html?class=1;template=results;type=allround;view=match",2737,98,27.92857143,11,2,0
"gautam gambhir","india",28763,"https://stats.espncricinfo.com/ci/engine/player/28763.html?class=1;template=results;type=allround;view=match",51553,1323,38.96674225,41.95,104,5
"devang gandhi","india",28770,"https://stats.espncricinfo.com/ci/engine/player/28770.html?class=1;template=results;type=allround;view=match",5498,175,31.41714286,34,7,1
"ashok gandotra","india",28772,"https://stats.espncricinfo.com/ci/engine/player/28772.html?class=1;template=results;type=allround;view=match",3569,127,28.1023622,13.5,4,0
"dodda ganesh","india",28774,"https://stats.espncricinfo.com/ci/engine/player/28774.html?class=1;template=results;type=allround;view=match",5306,170,31.21176471,6.25,7,3
"sourav ganguly","india",28779,"https://stats.espncricinfo.com/ci/engine/player/28779.html?class=1;template=results;type=allround;view=match",96626,2534,38.13180742,42.17,188,17
"sunil gavaskar","india",28794,"https://stats.espncricinfo.com/ci/engine/player/28794.html?class=1;template=results;type=allround;view=match",92444,2654,34.83195177,51.12,214,16
"karsan ghavri","india",28813,"https://stats.espncricinfo.com/ci/engine/player/28813.html?class=1;template=results;type=allround;view=match",33245,967,34.3795243,21.23,57,14
"jayasinghrao ghorpade","india",28814,"https://stats.espncricinfo.com/ci/engine/player/28814.html?class=1;template=results;type=allround;view=match",8614,248,34.73387097,15.26,15,0
"ghulam ahmed","india",28821,"https://stats.espncricinfo.com/ci/engine/player/28821.html?class=1;template=results;type=allround;view=match",17383,573,30.33682373,8.72,31,9
"morappakam gopalan","india",28850,"https://stats.espncricinfo.com/ci/engine/player/28850.html?class=1;template=results;type=allround;view=match",2895,105,27.57142857,18,2,1
"chingleput gopinath","india",28855,"https://stats.espncricinfo.com/ci/engine/player/28855.html?class=1;template=results;type=allround;view=match",8039,250,32.156,22,12,1
"ghulam guard","india",28861,"https://stats.espncricinfo.com/ci/engine/player/28861.html?class=1;template=results;type=allround;view=match",4018,127,31.63779528,5.5,2,0
"subrata guha","india",28864,"https://stats.espncricinfo.com/ci/engine/player/28864.html?class=1;template=results;type=allround;view=match",5823,176,33.08522727,3.4,7,2
"gul mohammad","india",40329,"https://stats.espncricinfo.com/ci/engine/player/40329.html?class=1;template=results;type=allround;view=match",7735,256,30.21484375,11.06,15,0
"baloo gupte","india",28878,"https://stats.espncricinfo.com/ci/engine/player/28878.html?class=1;template=results;type=allround;view=match",5080,137,37.08029197,28,3,2
"subhash gupte","india",28880,"https://stats.espncricinfo.com/ci/engine/player/28880.html?class=1;template=results;type=allround;view=match",30325,864,35.09837963,6.31,42,13
"gursharan singh","india",28884,"https://stats.espncricinfo.com/ci/engine/player/28884.html?class=1;template=results;type=allround;view=match",3280,100,32.8,18,1,0
"hanumant singh","india",29260,"https://stats.espncricinfo.com/ci/engine/player/29260.html?class=1;template=results;type=allround;view=match",13400,392,34.18367347,31.18,24,2
"harbhajan singh","india",29264,"https://stats.espncricinfo.com/ci/engine/player/29264.html?class=1;template=results;type=allround;view=match",95225,2493,38.19695146,18.22,145,23
"manohar hardikar","india",29268,"https://stats.espncricinfo.com/ci/engine/player/29268.html?class=1;template=results;type=allround;view=match",4030,128,31.484375,18.66,4,1
"harshit rana","india",1312645,"https://stats.espncricinfo.com/ci/engine/player/1312645.html?class=1;template=results;type=allround;view=match",3563,131,27.19847328,2.33,3,0
"harvinder singh","india",29280,"https://stats.espncricinfo.com/ci/engine/player/29280.html?class=1;template=results;type=allround;view=match",5008,155,32.30967742,2,4,1
"vijay hazare","india",29290,"https://stats.espncricinfo.com/ci/engine/player/29290.html?class=1;template=results;type=allround;view=match",23329,682,34.20674487,47.65,52,6
"dattaram hindlekar","india",29297,"https://stats.espncricinfo.com/ci/engine/player/29297.html?class=1;template=results;type=allround;view=match",4341,165,26.30909091,14.2,7,2
"narendra hirwani","india",29299,"https://stats.espncricinfo.com/ci/engine/player/29299.html?class=1;template=results;type=allround;view=match",15216,461,33.00650759,5.4,22,12
"kc ibrahim","india",29529,"https://stats.espncricinfo.com/ci/engine/player/29529.html?class=1;template=results;type=allround;view=match",6514,167,39.00598802,21.12,8,0
"prince indrajitsinhji","india",29533,"https://stats.espncricinfo.com/ci/engine/player/29533.html?class=1;template=results;type=allround;view=match",4927,180,27.37222222,8.5,7,1
"jenni irani","india",29543,"https://stats.espncricinfo.com/ci/engine/player/29543.html?class=1;template=results;type=allround;view=match",3043,120,25.35833333,3,3,2
"ishan kishan","india",720471,"https://stats.espncricinfo.com/ci/engine/player/720471.html?class=1;template=results;type=allround;view=match",3722,121,30.76033058,78,3,2
"shreyas iyer","india",642519,"https://stats.espncricinfo.com/ci/engine/player/642519.html?class=1;template=results;type=allround;view=match",12387,410,30.21219512,36.86,24,2
"ajay jadeja","india",29632,"https://stats.espncricinfo.com/ci/engine/player/29632.html?class=1;template=results;type=allround;view=match",11769,370,31.80810811,26.18,24,2
"ravindra jadeja","india",234675,"https://stats.espncricinfo.com/ci/engine/player/234675.html?class=1;template=results;type=allround;view=match",64576,1925,33.54597403,34.74,118,21
"wasim jaffer","india",29646,"https://stats.espncricinfo.com/ci/engine/player/29646.html?class=1;template=results;type=allround;view=match",28743,771,37.28015564,34.1,58,1
"jahangir khan","india",29654,"https://stats.espncricinfo.com/ci/engine/player/29654.html?class=1;template=results;type=allround;view=match",5241,175,29.94857143,5.57,7,0
"laxmidas jai","india",29667,"https://stats.espncricinfo.com/ci/engine/player/29667.html?class=1;template=results;type=allround;view=match",3070,103,29.80582524,9.5,2,0
"motganhalli jaisimha","india",29663,"https://stats.espncricinfo.com/ci/engine/player/29663.html?class=1;template=results;type=allround;view=match",32903,934,35.22805139,30.68,71,4
"yashasvi jaiswal","india",1151278,"https://stats.espncricinfo.com/ci/engine/player/1151278.html?class=1;template=results;type=allround;view=match",14116,497,28.40241449,52.88,36,2
"rustomji jamshedji","india",29674,"https://stats.espncricinfo.com/ci/engine/player/29674.html?class=1;template=results;type=allround;view=match",3089,105,29.41904762,0,2,2
"kenia jayantilal","india",29852,"https://stats.espncricinfo.com/ci/engine/player/29852.html?class=1;template=results;type=allround;view=match",3151,97,32.48453608,5,1,0
"david johnson","india",29712,"https://stats.espncricinfo.com/ci/engine/player/29712.html?class=1;template=results;type=allround;view=match",3460,130,26.61538462,4,3,1
"nana joshi","india",29721,"https://stats.espncricinfo.com/ci/engine/player/29721.html?class=1;template=results;type=allround;view=match",11214,353,31.76770538,10.89,20,1
"sunil joshi","india",29725,"https://stats.espncricinfo.com/ci/engine/player/29725.html?class=1;template=results;type=allround;view=match",14209,411,34.57177616,20.7,19,2
"dhruv jurel","india",1175488,"https://stats.espncricinfo.com/ci/engine/player/1175488.html?class=1;template=results;type=allround;view=match",5660,176,32.15909091,40.4,6,1
"mohammad kaif","india",29990,"https://stats.espncricinfo.com/ci/engine/player/29990.html?class=1;template=results;type=allround;view=match",12463,375,33.23466667,32.84,22,3
"vinod kambli","india",30009,"https://stats.espncricinfo.com/ci/engine/player/30009.html?class=1;template=results;type=allround;view=match",13785,405,34.03703704,54.2,21,1
"hrishikesh kanitkar","india",30018,"https://stats.espncricinfo.com/ci/engine/player/30018.html?class=1;template=results;type=allround;view=match",3918,120,32.65,18.5,4,0
"hemant kanitkar","india",30019,"https://stats.espncricinfo.com/ci/engine/player/30019.html?class=1;template=results;type=allround;view=match",3777,122,30.95901639,27.75,4,0
"kapil dev","india",30028,"https://stats.espncricinfo.com/ci/engine/player/30028.html?class=1;template=results;type=allround;view=match",102737,2797,36.73114051,31.05,184,15
"aashish kapoor","india",30030,"https://stats.espncricinfo.com/ci/engine/player/30030.html?class=1;template=results;type=allround;view=match",5139,169,30.40828402,19.4,6,1
"saba karim","india",30042,"https://stats.espncricinfo.com/ci/engine/player/30042.html?class=1;template=results;type=allround;view=match",2985,104,28.70192308,15,1,0
"dinesh karthik","india",30045,"https://stats.espncricinfo.com/ci/engine/player/30045.html?class=1;template=results;type=allround;view=match",24933,679,36.72017673,25,42,1
