X,Y,Curve,Radius
741656.845,3008792.392,1,0.502512563
741647.2642,3008794.454,1,0.507614213
741637.5908,3008796.999,1,0.531914894
741627.9355,3008799.627,1,0.595238095
741618.3783,3008802.263,1,0.769230769
741608.893,3008805.076,1,1.282051282
741599.5616,3008807.873,0,3.571428571
741590.1665,3008810.69,0,14.28571429
741580.6659,3008813.524,0,4.761904762
741571.1574,3008816.359,0,5.882352941
741561.5971,3008819.2,0,14.28571429
741552.1327,3008821.959,0,25
741542.5718,3008824.736,0,12.5
741533.0537,3008827.502,0,14.28571429
741523.5375,3008830.275,0,33.33333333
741513.9614,3008833.068,0,100
741504.4773,3008835.821,0,100
741494.9077,3008838.538,0,50
741485.4279,3008841.218,0,50
741475.9221,3008843.915,0,100
741466.3586,3008846.675,0,100
741456.8767,3008849.419,0,20
741447.3,3008852.191,0,7.692307692
741437.8282,3008854.927,0,4.761904762
741428.2298,3008857.698,0,3.571428571
741418.6245,3008860.466,0,2.941176471
741409.1205,3008863.172,0,2.173913043
741399.5439,3008865.894,0,1.538461538
741390.0616,3008868.556,1,1.075268817
741380.4836,3008871.09,1,0.78125
741370.934,3008873.598,1,0.598802395
741361.4225,3008875.976,1,0.495049505
741351.7649,3008877.868,1,0.440528634
741342.136,3008879.707,1,0.425531915
741332.3422,3008881.413,1,0.434782609
741322.4937,3008882.516,1,0.423728814
741312.5762,3008883.596,1,0.373134328
741302.6331,3008884.463,1,0.315457413
741292.9387,3008884.777,1,0.287356322
741283.0379,3008885.099,1,0.301204819
741273.1831,3008884.843,1,0.367647059
741263.3209,3008883.896,1,0.510204082
741253.4309,3008882.947,1,0.769230769
741243.6118,3008881.976,1,1.176470588
741233.7088,3008880.983,0,1.666666667
741223.8811,3008879.988,0,2
741213.9396,3008878.89,0,2.272727273
741203.9519,3008877.763,0,2.631578947
741194.0137,3008876.643,0,3.846153846
741184.1377,3008875.539,0,11.11111111
741174.2378,3008874.434,0,11.11111111
741164.2959,3008873.355,0,4.545454545
741154.3928,3008872.316,0,3.703703704
741144.4382,3008871.274,0,4.166666667
741134.543,3008870.287,0,5.882352941
741124.7109,3008869.319,0,11.11111111
741114.8049,3008868.378,0,50
741105.0379,3008867.527,0,100
741095.1661,3008866.663,0,50
741085.2623,3008865.714,0,25
741075.2866,3008864.736,0,9.090909091
741065.2096,3008863.718,0,7.142857143
741055.363,3008862.682,0,25
741045.5162,3008861.654,0,4
741035.6043,3008860.657,0,8.333333333
741025.8022,3008859.675,0,2.380952381
741015.9585,3008858.69,1,1.052631579
741006.2158,3008857.714,1,1.041666667
740996.3943,3008856.609,0,2.941176471
740986.4703,3008855.216,0,2.564102564
740976.716,3008853.866,1,1.315789474
740966.8508,3008852.713,1,1.428571429
740957.1537,3008851.631,0,2.380952381
740947.3484,3008850.508,0,5.263157895
740937.4785,3008849.34,0,8.333333333
740927.6964,3008848.195,0,7.692307692
740917.8345,3008847.179,0,10
740908.1264,3008846.208,0,100
740898.3215,3008845.166,0,9.090909091
740888.5313,3008844.029,0,6.666666667
740878.8054,3008842.902,0,10
740868.9094,3008841.804,0,100
740859.1684,3008840.737,0,9.090909091
740849.3579,3008839.674,0,7.692307692
740839.5853,3008838.657,0,33.33333333
740829.8245,3008837.642,0,6.25
740820.034,3008836.57,0,3.125
740810.3009,3008835.453,0,2.564102564
740800.5095,3008834.328,0,2.857142857
740790.7058,3008833.123,0,3.846153846
740780.8392,3008831.886,0,5.882352941
740770.9986,3008830.642,0,11.11111111
740761.2718,3008829.354,0,100
740751.4295,3008828.039,0,9.090909091
740741.6324,3008826.8,0,4.347826087
740731.7856,3008825.769,0,2.702702703
740721.7359,3008824.721,0,2.380952381
740711.8039,3008823.742,0,2.702702703
740701.9829,3008822.813,0,3.448275862
740692.3151,3008821.907,0,4.347826087
740682.4406,3008821.027,0,4.347826087
740672.6639,3008820.165,0,6.666666667
740662.8723,3008819.258,0,6.25
740652.9501,3008818.281,1,1.428571429
740643.2832,3008817.328,1,0.740740741
740633.4503,3008815.989,1,0.505050505
740623.6947,3008814.502,1,0.398406375
740614.0406,3008812.993,1,0.350877193
740604.4298,3008810.986,1,0.333333333
740594.9793,3008808.894,1,0.33557047
740585.4947,3008806.671,1,0.355871886
740576.1517,3008803.687,1,0.398406375
740566.7847,3008800.558,1,0.452488688
740557.4862,3008797.376,1,0.485436893
740548.386,3008793.885,1,0.469483568
740539.2258,3008790.317,1,0.418410042
740530.2192,3008786.653,1,0.373134328
740521.3355,3008782.274,1,0.35335689
740512.5363,3008777.829,1,0.36101083
740503.8413,3008773.327,1,0.395256917
740495.3077,3008768.272,1,0.452488688
740486.9074,3008763.197,1,0.537634409
740478.4941,3008758.069,1,0.657894737
740470.3194,3008752.707,1,0.854700855
740462.203,3008747.307,1,1.19047619
740454.0053,3008741.847,0,1.818181818
740445.8565,3008736.325,0,3.125
740437.5937,3008730.7,0,5.882352941
740429.3827,3008725.111,0,11.11111111
740421.231,3008719.529,0,20
740413.0472,3008713.917,0,33.33333333
740404.9437,3008708.359,0,100
740396.7152,3008702.748,0,50
740388.5707,3008697.205,0,25
740380.4066,3008691.649,0,20
740372.2241,3008686.069,0,16.66666667
740364.1034,3008680.528,0,16.66666667
740355.8838,3008674.919,0,20
740347.7637,3008669.344,0,50
740339.6009,3008663.716,0,100
740331.4216,3008658.075,0,33.33333333
740323.2942,3008652.462,0,50
740315.1055,3008646.793,0,50
740306.9412,3008641.142,0,12.5
740298.7118,3008635.472,0,7.142857143
740290.5297,3008629.869,0,6.25
740282.3359,3008624.259,0,6.666666667
740274.0899,3008618.624,0,10
740265.9514,3008613.075,0,33.33333333
740257.6612,3008607.423,0,33.33333333
740249.409,3008601.801,0,12.5
740241.2565,3008596.253,0,11.11111111
740233.1129,3008590.711,0,20
740225.0068,3008585.173,0,100
740216.77,3008579.526,0,16.66666667
740208.6231,3008573.941,0,11.11111111
740200.4338,3008568.35,0,11.11111111
740192.1843,3008562.74,0,14.28571429
740184.0073,3008557.177,0,20
740175.7622,3008551.549,0,25
