id	x	y	class
1	-540378.94	-1105517.38	0
1	-540364.63	-1105520.88	0
1	-540349.38	-1105525.13	1
1	-540340.38	-1105531.88	1
1	-540336.06	-1105541.88	1
1	-540334.63	-1105554.25	1
1	-540334.19	-1105567.13	1
1	-540336.06	-1105581.88	1
1	-540339.38	-1105595.63	1
1	-540345.63	-1105610.38	0
1	-540352.25	-1105626.63	1
1	-540355.13	-1105638	1
1	-540355.63	-1105650.88	1
1	-540354.19	-1105667.63	1
1	-540351.31	-1105687.63	1
1	-540345.63	-1105711.38	1
1	-540338	-1105732.38	1
1	-540327.5	-1105752.38	0
1	-540302.75	-1105795.75	0
1	-540281.31	-1105835.75	0
1	-540265.56	-1105864.25	1
1	-540258.44	-1105879	1
1	-540249.88	-1105903.75	1
1	-540239.38	-1105942.38	0
1	-540227	-1105986.25	0
1	-540220.31	-1106008.63	0
1	-540213.69	-1106029.5	1
1	-540180.31	-1106100.5	0
1	-540147.94	-1106165.25	0
1	-540131.75	-1106201.88	1
1	-540123.69	-1106234.75	1
1	-540115.56	-1106279.63	1
1	-540112.25	-1106304.75	1
1	-540112.25	-1106333.38	1
1	-540114.13	-1106361.5	0
1	-540119.38	-1106413.88	1
1	-540119.38	-1106430.5	1
1	-540115.06	-1106442	1
1	-540107	-1106448.63	1
1	-540097	-1106453.88	1
1	-540068.44	-1106459.63	0
1	-540044.63	-1106461.5	1
1	-540032.25	-1106459.63	1
1	-540022.25	-1106454.38	1
1	-540015.06	-1106445.75	1
1	-540005.06	-1106418.13	0
1	-539998.44	-1106394.88	1
1	-539991.25	-1106376.75	1
1	-539983.19	-1106358.63	1
1	-539973.63	-1106341	0
1	-539960.31	-1106318.13	0
1	-539937	-1106277.13	0
1	-539919.81	-1106245.75	0
1	-539906.5	-1106220	0
1	-539895.56	-1106196.25	1
1	-539888.38	-1106177.63	1
1	-539884.13	-1106160	1
1	-539880.31	-1106141	0
1	-539876.5	-1106128.63	1
1	-539869.81	-1106118.63	1
1	-539860.75	-1106113.88	1
1	-539849.31	-1106112.38	1
1	-539837.44	-1106114.75	1
1	-539811.69	-1106129.5	0
1	-539790.75	-1106144.25	0
1	-539769.19	-1106159	0
1	-539747.88	-1106172.88	1
1	-539726	-1106185.25	1
1	-539707.44	-1106193.38	1
1	-539686.44	-1106201	1
1	-539665.5	-1106207.63	1
1	-539643.63	-1106212.88	1
1	-539616.94	-1106216.25	1
1	-539596	-1106216.75	1
1	-539571.19	-1106213.38	1
1	-539540.25	-1106207.13	0
1	-539513.13	-1106201.88	1
1	-539490.56	-1106195.75	1
1	-539472.63	-1106188.13	1
1	-539455.5	-1106175.75	1
1	-539414.06	-1106130.5	0
1	-539393.06	-1106106.63	0
1	-539385	-1106099.13	1
1	-539375.94	-1106092.38	1
1	-539367.88	-1106089.13	1
1	-539358.94	-1106088.38	1
1	-539349.75	-1106091	1
1	-539342.13	-1106097.13	1
1	-539336.44	-1106107.63	0
1	-539326.44	-1106130.5	0
1	-539315.94	-1106152.38	0
1	-539306.44	-1106169.5	1
1	-539295.44	-1106185.75	1
1	-539285	-1106196.75	1
1	-539270.25	-1106205.25	1
1	-539255.94	-1106210.5	1
1	-539243.56	-1106211.88	1
1	-539231.63	-1106209.13	1
1	-539210.69	-1106195.75	0
1	-539194	-1106183.88	0
1	-539181.63	-1106176.25	0
1	-539167.81	-1106169.13	0
1	-539150.69	-1106161.88	0
1	-539134.5	-1106156.25	0
1	-539117.31	-1106150.5	1
1	-539099.25	-1106145.25	1
1	-539080.69	-1106143.38	1
1	-539061.13	-1106143.88	1
1	-539008.75	-1106150	0
1	-538960.75	-1106154.25	1
1	-538947.81	-1106153.88	1
1	-538934.94	-1106149.13	1
1	-538913.06	-1106137.13	0
1	-538867.31	-1106109.5	0
1	-538826.81	-1106086.25	0
1	-538796.81	-1106068.13	1
1	-538779.19	-1106060	1
1	-538759.69	-1106054.75	1
1	-538742.06	-1106052.88	1
1	-538724.94	-1106055.75	1
1	-538709.69	-1106061	1
1	-538695.38	-1106068.63	1
1	-538685.38	-1106077.63	1
1	-538680.13	-1106091.88	1
1	-538680.06	-1106108.63	1
1	-538683.5	-1106145.25	0
1	-538688.25	-1106191.5	0
1	-538690.13	-1106224.38	1
1	-538686.81	-1106237.63	1
1	-538680.13	-1106249.5	1
1	-538670.63	-1106261.5	1
1	-538641.06	-1106290	0
1	-538627.25	-1106305.25	0
1	-538602.5	-1106335.75	0
1	-538577.75	-1106364.75	0
1	-538552.5	-1106389.63	1
1	-538529.63	-1106406.25	1
